Unnamed: 0,cd_loc,latlong
320,용호동 LG메트로시티2단지 부근,"[35.1321212, 129.114477]"
321,용호4동 용호4동주민센터부근,"[35.1142664, 129.1109325]"
322,용호동 분포우체국부근,"[35.1306016, 129.112057]"
323,대연동 수영로 324 부근(교차로 모퉁이),"[35.1371965, 129.0853385]"
324,문현동 전포대로67번길 무지개다리 부근,"[35.142535, 129.064253]"
325,대연동 용소로 5 부근,"[35.1357838, 129.0981799]"
326,용호동 분포로 분포우체국 부근,"[35.1306016, 129.112057]"
327,문현동 문현로 68 부근,"[35.14323, 129.0765043]"
328,대연동 진남로 131-1 부근,"[35.1386412, 129.0807355]"
329,대연동 대천사거리CCTV(인도/자전거도로),"[35.1300887, 129.1014738]"
330,대연동 수영로219번길 허균한의원 부근(곡각지),"[35.1357267, 129.0903636]"
331,대연동 못골번영로 일동지에닌 아파트 부근,"[35.1354211, 129.089447]"
332,용호동 용호로109번길 분포맨션 부근,"[35.1219509, 129.1128063]"
333,대연동 유엔평화로47번길 신우맨션 부근,"[35.132005, 129.0960576]"
334,대연동 평화공원앞CCTV(정류장),"[35.126307, 129.100906]"
335,대연동 대천사거리1CCTV,"[35.1300887, 129.1014738]"
336,문현2동 범5호교부근,"[35.14142, 129.0645603]"
337,문현동 자유평화로 범5호교 부근,"[35.14142, 129.0645603]"
338,감만동 북항로 북항로 부근,"[35.1098693, 129.073481]"
339,대연동 황령대로492번길 남천중학교 후문 부근,"[35.1364491, 129.1052233]"
340,문현2동 자유평화로부근,"[35.1460649, 129.0671214]"
341,감만동 8부두로 7앞,"[35.1185603, 129.0794949]"
342,감만동 북항로 감만부두 부근(1차선주차),"[35.1087722, 129.0804289]"
343,감만동 신선로 부산감만자동차매매단지 부근,"[35.1095529, 129.0826875]"
344,문현동 수영로 대원상사 부근(곡각/횡단보도),"[35.1344009, 129.0761993]"
345,문현동 고동골로 헤어카페 부근,"[35.14321, 129.0712676]"
346,문현동 고동골로47번길 12 부근(횡단보도),"[35.1413811, 129.0703172]"
347,대연3동 힐스테이트푸르지오부근,"[35.1399201, 129.102713]"
348,대연동 광명집앞CCTV(인도),"[35.1414268, 129.0932454]"
349,대연동 교보문고 앞 CCTV(정류장),"[35.13767, 129.1017052]"
350,감만동 북항로 동원터미널(구.동부터미널) 부근(1차선주차),"[35.1087722, 129.0804289]"
351,문현1동 유진꽃플라워부근,"[35.1433153, 129.0747547]"
352,대연동 용소로40번길 22 부근,"[35.1338836, 129.099779]"
353,문현1동 제이씨마트 부근,"[35.1431383, 129.0709833]"
354,대연동 수영로267번길 남구도서관 부근,"[35.1376985, 129.094583]"
355,문현2동 두광골든밸류빌아파트 부근,"[35.1442273, 129.0731356]"
356,문현동 수영로49번길 문현성당  후문 부근,"[35.1364078, 129.0731222]"
357,문현1동 현대대성주유소부근,"[35.1437248, 129.0764076]"
358,용호동 용호로42번길 114 부근,"[35.1217849, 129.1094079]"
359,용호동 분포로 하이츠자이 309동 부근,"[35.1327553, 129.1109465]"
360,용호동 용호로42번길 118 부근,"[35.12167549999999, 129.1093439]"
361,문현동 경동리인정문CCTV,"[35.1442273, 129.0731356]"
362,문현동 황령대로 BIFC 부근,"[35.1472297, 129.0657929]"
363,대연동 석포초교앞CCTV,"[35.12645, 129.091336]"
364,감만2동 부마힐타워아파트부근,"[35.1241361, 129.0882851]"
365,대연동 못골번영로 46 부근,"[35.1392811, 129.0891023]"
366,대연동 못골로12번길 성소병원 부근(곡각지),"[35.1353601, 129.086261]"
367,감만동 8부두로,"[35.1170892, 129.0771011]"
368,감만동 8부두로 19 부근,"[35.118049, 129.0783078]"
369,대연6동 롯데캐슬레전드공사현장부근,"[35.1363125, 129.0811875]"
