Unnamed: 0.1,cd_loc,latlong,lat,long,district
4322,용호동 용호로118번길 141 부근,"[35.238194, 128.6839654]",35.238194,128.6839654,
4323,용호동 동명로92번길 백운초등학교 부근(곡각지),"[35.1184234, 129.1053904]",35.1184234,129.1053904,545.0
4324,용호동 성모약국앞CCTV(인도/횡단보도),"[35.1116204, 129.1111247]",35.1116204,129.1111247,618.0
4325,용호동 용호로110번길 41 부근,"[35.1224065, 129.1112281]",35.1224065,129.1112281,613.0
4326,용호동 용호로109번길 31 부근,"[35.1224548, 129.114208]",35.12245479999999,129.11420800000002,648.0
4327,대연동 평화공원앞CCTV(이중주차),"[35.1253392, 129.0992519]",35.125339200000006,129.0992519,472.0
4328,용호동 동명로145번길 뉴빅마트 부근,"[35.1195418, 129.1129384]",35.11954179999999,129.11293840000002,649.0
4329,용호동 용호로109번길 27 부근,"[35.1224466, 129.1139237]",35.1224466,129.1139237,648.0
4330,대연동 광명집앞CCTV(안전지대),"[35.1414268, 129.0932454]",35.1414268,129.0932454,395.0
4331,용호2동 목련4차부근,"[35.1160627, 129.1082514]",35.1160627,129.1082514,581.0
4332,용호동 용호로197번길 용호2동시장주차장 부근(곡각지),"[35.1150231, 129.1126769]",35.1150231,129.1126769,652.0
4333,대연동 광명집앞CCTV(횡단보도/안전지대),"[37.4784878, 126.8642888]",37.478487799999996,126.8642888,
4334,대연동 수영로322번길 센츄리빌딩 부근,"[35.1371554, 129.1007053]",35.1371554,129.10070530000002,466.0
4335,대연동 유엔평화로4번길 74 부근,"[35.1344588, 129.0878848]",35.1344588,129.0878848,328.0
4336,대연5동 롯데슈퍼부근,"[35.135924, 129.0910246]",35.135923999999996,129.0910246,362.0
4337,용호동 용호로159번길 용호정영빌라 부근,"[35.1174237, 129.1146952]",35.1174237,129.1146952,685.0
4338,대연동 유엔평화로10번길 33 부근,"[35.1339365, 129.090136]",35.1339365,129.090136,363.0
4339,감만동 우암로 72 건민약국 앞,"[35.1169027, 129.0812245]",35.1169027,129.08122450000002,231.0
4340,대연동 못골로12번길 29 부근(곡각지),"[35.1354253, 129.0854475]",35.135425299999994,129.08544750000001,292.0
4341,용호동 용호로 비치주유소 부근,"[35.125839, 129.110195]",35.125839,129.110195,612.0
4342,감만동 우암로 그린물세탁 부근,"[35.1189375, 129.0827856]",35.1189375,129.0827856,265.0
4343,용호동 동명로118번길 오륙도 어린이집 부근,"[35.1138371, 129.1094406]",35.113837100000005,129.1094406,617.0
4344,용호동 백운포로 국민체육센터 회차로 부근,"[35.103584, 129.107938]",35.103584000000005,129.107938,587.0
4345,문현동 지게골로 롯데슈퍼 부근(횡단보도),"[35.1357719, 129.0704109]",35.1357719,129.0704109,82.0
4346,대연동 유엔로157번길 인도문화원 부근,"[35.1306673, 129.0935234]",35.13066729999999,129.0935234,399.0
4347,용호동 동명로145번가길 동림베스트빌라 부근,"[35.1199264, 129.1135647]",35.1199264,129.1135647,649.0
4348,용호동 동명로 152 부근,"[35.1158683, 129.1125843]",35.115868299999995,129.11258429999998,651.0
4349,용호동 용호로159번길 문현곱창 부근,"[35.1178528, 129.1119293]",35.1178528,129.1119293,650.0
4350,용호동 동명로146번길 용호3치안센터 부근,"[35.1178778, 129.1124382]",35.1178778,129.11243819999999,650.0
4351,대연동 못골로 성화부동산 부근,"[35.1356144, 129.0856616]",35.135614399999994,129.08566159999998,292.0
4352,용당동 유엔평화로126번길 22 부근,"[35.1236171, 129.0955023]",35.123617100000004,129.0955023,438.0
4353,우암동 우암로154번길 52 부근,"[35.1254969, 129.0816732]",35.1254969,129.0816732,227.0
4354,문현동 수영로 세종그랑시아 부근(횡단보도),"[35.1361984, 129.0693378]",35.1361984,129.0693378,82.0
4355,용호동 용호로159번길 대성인테리어 부근,"[35.11768199999999, 129.1149081]",35.11768199999999,129.1149081,685.0
4356,용호동 용호로216번길 용호4동주민센터 부근(횡단보도),"[35.1148343, 129.1134427]",35.1148343,129.1134427,652.0
4357,대연동 못골번영로 한사랑빌 부근,"[35.1390059, 129.0892358]",35.1390059,129.0892358,326.0
4358,문현2동 황령대로74번길부근,"[35.1456579, 129.06769]",35.145657899999996,129.06769,43.0
4359,용호동 솔밭공원부근CCTV(정류장),"[35.1155121, 129.115598]",35.115512100000004,129.115598,686.0
4360,용호동 동명로132번길 명성학원 부근,"[35.1158683, 129.1100845]",35.115868299999995,129.1100845,616.0
4361,용호동 동명로132번길 103 부근,"[35.1151906, 129.1103683]",35.1151906,129.1103683,616.0
4362,용호동 동명로132번길 123 부근,"[35.1143664, 129.1104076]",35.1143664,129.1104076,617.0
4363,대연4동 주민센타부근,"[35.1298107, 129.0914192]",35.1298107,129.0914192,365.0
4364,우암동 신선로 동서고가로 진입로 부근,"[35.1263344, 129.0761011]",35.1263344,129.0761011,156.0
4365,용호동 용호로197번길 용호공인중개사 부근,"[35.1146385, 129.1133622]",35.1146385,129.11336219999998,652.0
4366,용호동 용호로197번길 용호시장 주차장 부근,"[35.1174296, 129.1127277]",35.1174296,129.1127277,650.0
4367,용호동 동명로132번길 128 부근,"[35.1141309, 129.1101324]",35.1141309,129.1101324,617.0
4368,용호동 동명로132번길 133 부근,"[35.11388650000001, 129.1103408]",35.11388650000001,129.11034080000002,617.0
4369,대연5동 우리은행부근,"[35.1350461, 129.0873919]",35.135046100000004,129.0873919,327.0
4370,문현동 우암로362번길 17 부근,"[35.1339952, 129.0680546]",35.13399520000001,129.06805459999998,48.0
4371,용호동 분포로 분포도서관 부근,"[35.132227, 129.1156465]",35.132227,129.1156465,679.0
4372,대연동 석포로83번길 한일빌 부근(길가운데주차),"[35.1269694, 129.0887862]",35.12696939999999,129.0887862,331.0
4373,용호동 용호로109번길 황실미용실 부근(곡각지),"[35.1222568, 129.1134589]",35.122256799999995,129.1134589,648.0
4374,용당동 동명로26 아이파크 부근(인도),"[35.1187566, 129.0990577]",35.1187566,129.0990577,475.0
4375,용당동 동명로26 아이파크 부근,"[35.1187566, 129.0990577]",35.1187566,129.0990577,475.0
4376,대연동 석포로91번길 오성슈퍼 부근,"[35.129582, 129.0909316]",35.129582,129.09093159999998,365.0
4377,대연4동 석포농협부근,"[35.1291478, 129.0915595]",35.12914779999999,129.0915595,365.0
4378,용호동 동명로118번길 150 부근,"[35.1135063, 129.1094394]",35.1135063,129.1094394,617.0
4379,용호동 동명로146번길 66 부근,"[35.1165169, 129.1117971]",35.1165169,129.1117971,651.0
4380,용호동 동명로146번길 46 부근,"[35.1174195, 129.1120682]",35.117419500000004,129.1120682,650.0
4381,용호동 용호로90번길 16 부근,"[35.12428269999999, 129.111568]",35.12428269999999,129.111568,647.0
